
1월 11, 2024 13:21:54.378 NEW SESSION
1월 11, 2024 18:11:10.223 [7136:8772:0111/181110.223:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:11:35.146 [7136:8772:0111/181135.146:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:12:17.634 [7136:8772:0111/181217.634:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:12:28.481 [7136:8772:0111/181228.481:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:13:10.601 [7136:8772:0111/181310.601:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:13:21.552 [7136:8772:0111/181321.552:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:13:36.151 [7136:8772:0111/181336.151:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:13:50.60 [7136:8772:0111/181350.060:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:14:42.259 [7136:8772:0111/181442.259:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:15:54.167 [7136:8772:0111/181554.166:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:17:33.116 [7136:8772:0111/181733.116:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:22:44.03 [7136:8772:0111/182244.002:ERROR:interface_endpoint_client.cc(702)] Message 1 rejected by interface blink.mojom.WidgetHost
1월 11, 2024 18:22:44.03 [7136:8772:0111/182244.002:ERROR:interface_endpoint_client.cc(702)] Message 1 rejected by interface blink.mojom.WidgetHost
1월 11, 2024 18:22:48.726 [7136:8772:0111/182248.726:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:41:38.660 [7136:8772:0111/184138.659:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:41:52.309 [7136:8772:0111/184152.309:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:42:34.842 [7136:8772:0111/184234.842:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:42:44.731 [7136:8772:0111/184244.731:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:45:17.584 [7136:8772:0111/184517.584:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 

1월 16, 2024 09:26:46.934 NEW SESSION
1월 16, 2024 09:26:46.934 [4124:6832:0116/092646.933:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 16, 2024 09:26:56.522 [4124:6832:0116/092656.522:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 16, 2024 09:28:35.588 [9572:6764:0116/092835.588:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 16, 2024 09:28:45.258 [9572:6764:0116/092845.257:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 16, 2024 09:28:49.924 [9572:6764:0116/092849.924:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 16, 2024 09:28:53.483 [9572:6764:0116/092853.483:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 16, 2024 09:28:58.383 [9572:6764:0116/092858.383:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 16, 2024 09:29:34.722 [3276:3188:0116/092934.721:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 16, 2024 09:29:40.270 [3276:3188:0116/092940.270:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 16, 2024 09:29:48.588 [3276:3188:0116/092948.588:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 16, 2024 09:29:52.50 [3276:3188:0116/092952.049:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 16, 2024 09:30:04.955 [3276:3188:0116/093004.955:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 16, 2024 09:30:05.03 [3276:3188:0116/093005.003:ERROR:CONSOLE(0)] "ReferenceError: dragEvent is not defined", source:  (0)
1월 16, 2024 09:30:17.571 [3276:3188:0116/093017.571:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 16, 2024 09:30:32.393 [3276:3188:0116/093032.393:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 16, 2024 09:30:45.529 [8308:6096:0116/093045.529:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 16, 2024 09:30:50.449 [8308:6096:0116/093050.449:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 16, 2024 09:30:51.371 [8308:6096:0116/093051.371:ERROR:CONSOLE(0)] "ReferenceError: dragEvent is not defined", source:  (0)
